Hash,Division,Collection,ProductNameDescription,ProductCategory,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures
20032-00010,"Bike, Moto",SP23,OFFICIAL Zip Hoodie Fleece,Apparel,Black,TRUE,TRUE,20032-00010,20032-00010,20032-00011,20032-00012,20032-00013,20032-00014,,,S,M,L,XL,2XL,,,55,60,CN,"SYNDICATE Black Heather
55% Cotton
45% Polyester
SYNDICATE Camo
60% Cotton
40% Polyester
OFFICIAL Colors
80% Cotton
20% Polyester",Full zip hoodie features a Cotton/Polyester brushedback fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and flat lace draw cords. Score easy style points with embroidered logos and custom trim package.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic zipper front hood fit with front pockets
• Soft jersey hood lining
• Hood draw cord closure
• Laser cut woven label detail at wearer's left side seam
• Embroidered chest logo"
20032-00015,"Bike, Moto",SP23,OFFICIAL Zip Hoodie Fleece,Apparel,Red,TRUE,TRUE,20032-00015,20032-00015,20032-00016,20032-00017,20032-00018,20032-00019,,,S,M,L,XL,2XL,,,55,60,CN,"SYNDICATE Black Heather
55% Cotton
45% Polyester
SYNDICATE Camo
60% Cotton
40% Polyester
OFFICIAL Colors
80% Cotton
20% Polyester",Full zip hoodie features a Cotton/Polyester brushedback fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and flat lace draw cords. Score easy style points with embroidered logos and custom trim package.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic zipper front hood fit with front pockets
• Soft jersey hood lining
• Hood draw cord closure
• Laser cut woven label detail at wearer's left side seam
• Embroidered chest logo"
20032-00020,"Bike, Moto",SP23,OFFICIAL Zip Hoodie Fleece,Apparel,Royal,TRUE,TRUE,20032-00020,20032-00020,20032-00021,20032-00022,20032-00023,20032-00024,,,S,M,L,XL,2XL,,,55,60,CN,"SYNDICATE Black Heather
55% Cotton
45% Polyester
SYNDICATE Camo
60% Cotton
40% Polyester
OFFICIAL Colors
80% Cotton
20% Polyester",Full zip hoodie features a Cotton/Polyester brushedback fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and flat lace draw cords. Score easy style points with embroidered logos and custom trim package.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic zipper front hood fit with front pockets
• Soft jersey hood lining
• Hood draw cord closure
• Laser cut woven label detail at wearer's left side seam
• Embroidered chest logo"
20033-00000,"Bike, Moto",SP23,OFFICIAL Youth Zip Hoodie Fleece,Apparel,Black,TRUE,TRUE,20033-00000,20033-00000,20033-00001,20033-00002,20033-00003,,,,S,M,L,XL,,,,45,50,CN,"80% Cotton
20% Polyester",Long sleeve full zip hoodie features a Cotton/Polyester brushedback fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket. Score easy style points with embroidered logos and custom trim package.,"• Mid-weight brushed-back fleece
• Embroidered chest logo
• Classic kangaroo pockets
• Soft jersey hood lining
• Custom trim package"
20037-00000,"Bike, Moto",SP23,VICEROY Tech Zip Hoodie,Apparel,Black,TRUE,TRUE,20037-00000,20037-00000,20037-00001,20037-00002,20037-00003,20037-00004,,,S,M,L,XL,2XL,,,80,85,CN,"85% Polyester
15% Cotton","Full zip hoodie features a Polyester/Cotton moisture-wicking interlock fleece. This tech fleece blends functionality with stylish design, sure to be your new favorite hoodie. A custom athletic-cut with zippered pockets keeps your essentials in place. Score easy style points with custom heat transfer branding and custom trim package.","• Mid-weight interlock fleece
• Custom athletic-cut with moisture-wicking fabric
• Extended neck zip
• Lycra edge binding
• Reflective heat transfer branding
• Zippered pockets
• Custom trim package
• Modern Athletic fit"
20038-00000,"Bike, Moto",SP23,TEMPUS Jacket,Apparel,Black,TRUE,TRUE,20038-00000,20038-00000,20038-00001,20038-00002,20038-00003,20038-00004,,,S,M,L,XL,2XL,,,65,70,CN,100% Nylon,This Nylon Hooded Coaches Jacket features a water-resistant Nylon fabric with logo snap front closure. Classic styling and low-key branding make this a timeless style jacket. Get outside and enjoy!,"• Nylon 330D with interior PU waterproof coating
• Water-resistant DWR coated fabric
• Contrast sublimated open hole Polyester mesh lining
• Draw cord closure at hood and bottom opening
• TPR chest logo patch and embroidered sleeve logo
• Custom logo snaps and eyelets
• Welt body pockets
• Standard fit"
20040-00000,"Bike, Moto",SP23,TORRENT Jacket,Apparel,Black,TRUE,TRUE,20040-00000,20040-00000,20040-00001,20040-00002,20040-00003,20040-00004,,,S,M,L,XL,2XL,,,29.5,34.5,CN,100% Ethylene Vinyl Acetate (EVA),"Stay dry with our TORRENT rain coat. Made of 100% EVA fabric is ideal for when it's really coming down. Features screenprinted branding, snap closures, welded pockets and Extra long 3/4 length helps keep you dry in the wettest conditions.","• EVA Rain Jacket
• Welded body pocket and pocket flaps
• Cape back vent with snap for increased breathability
• Adjustable hood with drawcord
• Front placket with snap buttons
• Adjustable cuffs with snap closures
• Long 3/4 length jacket for coverage"
20040-00005,"Bike, Moto",SP23,TORRENT Jacket,Apparel,Black/Red,TRUE,TRUE,20040-00005,20040-00005,20040-00006,20040-00007,20040-00008,20040-00009,,,S,M,L,XL,2XL,,,29.5,34.5,CN,100% Ethylene Vinyl Acetate (EVA),"Stay dry with our TORRENT rain coat. Made of 100% EVA fabric is ideal for when it's really coming down. Features screenprinted branding, snap closures, welded pockets and Extra long 3/4 length helps keep you dry in the wettest conditions.","• EVA Rain Jacket
• Welded body pocket and pocket flaps
• Cape back vent with snap for increased breathability
• Adjustable hood with drawcord
• Front placket with snap buttons
• Adjustable cuffs with snap closures
• Long 3/4 length jacket for coverage"
20040-00010,"Bike, Moto",SP23,TORRENT Jacket,Apparel,Clear,TRUE,TRUE,20040-00010,20040-00010,20040-00011,20040-00012,20040-00013,20040-00014,,,S,M,L,XL,2XL,,,29.5,34.5,CN,100% Ethylene Vinyl Acetate (EVA),"Stay dry with our TORRENT rain coat. Made of 100% EVA fabric is ideal for when it's really coming down. Features screenprinted branding, snap closures, welded pockets and Extra long 3/4 length helps keep you dry in the wettest conditions.","• EVA Rain Jacket
• Welded body pocket and pocket flaps
• Cape back vent with snap for increased breathability
• Adjustable hood with drawcord
• Front placket with snap buttons
• Adjustable cuffs with snap closures
• Long 3/4 length jacket for coverage"
20043-00000,"Bike, Moto",SP23,CLASSIC Flexfit Cap,Apparel,Black,TRUE,TRUE,20043-00000,20043-00000,20043-00001,,,,,,S/M,L/XL,,,,,,28,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20043-00002,"Bike, Moto",SP23,OFFICIAL Flexfit Cap,Apparel,Black,TRUE,TRUE,20043-00002,20043-00002,20043-00003,,,,,,S/M,L/XL,,,,,,26,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20043-00004,"Bike, Moto",SP23,OFFICIAL Flexfit Cap,Apparel,Red,TRUE,TRUE,20043-00004,20043-00004,20043-00005,,,,,,S/M,L/XL,,,,,,26,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20043-00006,"Bike, Moto",SP23,OFFICIAL Flexfit Cap,Apparel,Royal,TRUE,TRUE,20043-00006,20043-00006,20043-00007,,,,,,S/M,L/XL,,,,,,26,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20043-00008,"Bike, Moto",SP23,SHADOW Flexfit Cap,Apparel,Black,TRUE,TRUE,20043-00008,20043-00008,20043-00009,,,,,,S/M,L/XL,,,,,,32,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20043-00010,"Bike, Moto",SP23,SHADOW Flexfit Cap,Apparel,Red,TRUE,TRUE,20043-00010,20043-00010,20043-00011,,,,,,S/M,L/XL,,,,,,32,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20043-00012,"Bike, Moto",SP23,SHADOW Flexfit Cap,Apparel,Navy,TRUE,TRUE,20043-00012,20043-00012,20043-00013,,,,,,S/M,L/XL,,,,,,32,28,BD,"Classic
63% Polyester
34% Cotton
3% Elastane
Shadow & Official
98% Cotton
2% Elastane","Keep it classy with this classic Flex-Fit style hat. Embroidered with our  100% logo. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• Taped seams
• DTM sewn eyelets
• Front logo design
• Woven clamp label at back
• Multi-panel Fit 
• Flexfit hat comes in 2 sizes: S/M and L/XL"
20044-00000,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Black,TRUE,TRUE,20044-00000,20044-00000,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00001,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Burgundy,TRUE,TRUE,20044-00001,20044-00001,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00002,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Forest Green,TRUE,TRUE,20044-00002,20044-00002,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00003,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Heather Charcoal,TRUE,TRUE,20044-00003,20044-00003,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00004,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Orange,TRUE,TRUE,20044-00004,20044-00004,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00005,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Navy,TRUE,TRUE,20044-00005,20044-00005,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00006,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,Silver Grey,TRUE,TRUE,20044-00006,20044-00006,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00007,"Bike, Moto",SP23,ICON Snapback Cap,Apparel,White,TRUE,TRUE,20044-00007,20044-00007,,,,,,,OS,,,,,,,24,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20044-00008,"Bike, Moto",SP23,MACHINE Snapback Cap,Apparel,Camo,TRUE,TRUE,20044-00008,20044-00008,,,,,,,OS,,,,,,,26,26,BD,"Manifesto
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered 100% logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20045-00000,"Bike, Moto",SP23,X-FIT Trucker Cap,Apparel,Black,TRUE,TRUE,20045-00000,20045-00000,,,,,,,OS,,,,,,,26,28,BD,"60% Cotton
40% Polyester","Classic Trucker/Snapback style cap. Raised sonic weld logo with cut-n sew front panel striped design. This is a  100% timeless classic, don't leave home without it.","• Twill fabric blend front and mesh back
• Taped seams
• Sewn eyelets
• Front logo design
• Woven clamp label at back
• Snapback/Trucker hat
• One Size Fits Most"
20045-00001,"Bike, Moto",SP23,AJ FIT Trucker Cap,Apparel,Black,TRUE,TRUE,20045-00001,20045-00001,,,,,,,OS,,,,,,,26,28,BD,"60% Cotton
40% Polyester","Classic Trucker/Snapback style cap. Raised sonic weld logo with cut-n sew front panel striped design. This is a  100% timeless classic, don't leave home without it.","• Twill fabric blend front and mesh back
• Taped seams
• Sewn eyelets
• Front logo design
• Woven clamp label at back
• Snapback/Trucker hat
• One Size Fits Most"
20047-00000,"Bike, Moto",SP23,ICON Youth Snapback Cap,Apparel,Black,TRUE,TRUE,20047-00000,20047-00000,,,,,,,OS,,,,,,,22,24,BD,"Cornerstone
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20047-00001,"Bike, Moto",SP23,ICON Youth Snapback Cap,Apparel,Heather Charcoal,TRUE,TRUE,20047-00001,20047-00001,,,,,,,OS,,,,,,,22,24,BD,"Cornerstone
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20047-00002,"Bike, Moto",SP23,ICON Youth Snapback Cap,Apparel,Orange,TRUE,TRUE,20047-00002,20047-00002,,,,,,,OS,,,,,,,22,24,BD,"Cornerstone
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20047-00004,"Bike, Moto",SP23,CORNERSTONE Youth Snapback Cap,Apparel,Black,TRUE,TRUE,20047-00004,20047-00004,,,,,,,OS,,,,,,,24,24,BD,"Cornerstone
60% Cotton
40% Polyester
All Others
100% Cotton","Keep it classy with this classic Snapback style hat. Embroidered logo with a custom clamp label at back. This is a 100% timeless classic, don't leave home without it.","• Twill fabric blend
• DTM sewn eyelets
• Direct embroidered 100% logo
• Woven clamp label at back
• Medium profile Snapback hat
• One Size Fits Most"
20048-00000,"Bike, Moto",SP23,ICON Skull Beanie,Apparel,Black,TRUE,TRUE,20048-00000,20048-00000,,,,,,,OS,,,,,,,20,22,CN,100% Acrylic,Stay warm with this classic skully fit beanie.  Acrylic speckled yarns with a raised sonic weld logo.,"• Acrylic speckled yarn
• Raised sonic weld logo
• Skully fit"
20049-00000,"Bike, Moto",SP23,FLOW Performance MTB Socks,Apparel,Black,TRUE,TRUE,20049-00000,20049-00000,20049-00001,,,,,,S/M,L/XL,,,,,,12,14,TW,"Flow
62% Nylon
31% Polypropylene (PP)
5% Elastane
2% Polyester
Terrain
49% Nylon
46% Polypropylene (PP)
4% Elastane
1% Polyester",6” MTB performance sock blends functionality with stylish design aesthetics.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20049-00002,"Bike, Moto",SP23,FLOW Performance MTB Socks,Apparel,Black/Grey,TRUE,TRUE,20049-00002,20049-00002,20049-00003,,,,,,S/M,L/XL,,,,,,12,14,TW,"Flow
62% Nylon
31% Polypropylene (PP)
5% Elastane
2% Polyester
Terrain
49% Nylon
46% Polypropylene (PP)
4% Elastane
1% Polyester",6” MTB performance sock blends functionality with stylish design aesthetics.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20049-00004,"Bike, Moto",SP23,FLOW Performance MTB Socks,Apparel,White,TRUE,TRUE,20049-00004,20049-00004,20049-00005,,,,,,S/M,L/XL,,,,,,12,14,TW,"Flow
62% Nylon
31% Polypropylene (PP)
5% Elastane
2% Polyester
Terrain
49% Nylon
46% Polypropylene (PP)
4% Elastane
1% Polyester",6” MTB performance sock blends functionality with stylish design aesthetics.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20049-00006,"Bike, Moto",SP23,TERRAIN Performance MTB Socks,Apparel,White,TRUE,TRUE,20049-00006,20049-00006,20049-00007,,,,,,S/M,L/XL,,,,,,12,14,TW,"Flow
62% Nylon
31% Polypropylene (PP)
5% Elastane
2% Polyester
Terrain
49% Nylon
46% Polypropylene (PP)
4% Elastane
1% Polyester",6” MTB performance sock blends functionality with stylish design aesthetics.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20049-00008,"Bike, Moto",SP23,TERRAIN Performance MTB Socks,Apparel,Black,TRUE,TRUE,20049-00008,20049-00008,20049-00009,,,,,,S/M,L/XL,,,,,,12,14,TW,"Flow
62% Nylon
31% Polypropylene (PP)
5% Elastane
2% Polyester
Terrain
49% Nylon
46% Polypropylene (PP)
4% Elastane
1% Polyester",6” MTB performance sock blends functionality with stylish design aesthetics.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20050-00000,"Bike, Moto",SP23,SOLID Casual Socks,Apparel,Black,TRUE,TRUE,20050-00000,20050-00000,20050-00001,,,,,,S/M,L/XL,,,,,,14,16,TW,"68% Cotton
22% Nylon
6% Polyester
4% Elastane","8"" Casual/Athletic crew sock. This sock blends functional knits in classic solid colors that will never go out of style.","• Custom jacquard designs
• Embroidered or Woven Patch logo
• Knit mesh zones for airflow
• Ribbed arch support"
20050-00002,"Bike, Moto",SP23,SOLID Casual Socks,Apparel,Grey,TRUE,TRUE,20050-00002,20050-00002,20050-00003,,,,,,S/M,L/XL,,,,,,14,16,TW,"68% Cotton
22% Nylon
6% Polyester
4% Elastane","8"" Casual/Athletic crew sock. This sock blends functional knits in classic solid colors that will never go out of style.","• Custom jacquard designs
• Embroidered or Woven Patch logo
• Knit mesh zones for airflow
• Ribbed arch support"
20050-00004,"Bike, Moto",SP23,SOLID Casual Socks,Apparel,Navy,TRUE,TRUE,20050-00004,20050-00004,20050-00005,,,,,,S/M,L/XL,,,,,,14,16,TW,"68% Cotton
22% Nylon
6% Polyester
4% Elastane","8"" Casual/Athletic crew sock. This sock blends functional knits in classic solid colors that will never go out of style.","• Custom jacquard designs
• Embroidered or Woven Patch logo
• Knit mesh zones for airflow
• Ribbed arch support"
20050-00006,"Bike, Moto",SP23,SOLID Casual Socks,Apparel,Red,TRUE,TRUE,20050-00006,20050-00006,20050-00007,,,,,,S/M,L/XL,,,,,,14,16,TW,"68% Cotton
22% Nylon
6% Polyester
4% Elastane","8"" Casual/Athletic crew sock. This sock blends functional knits in classic solid colors that will never go out of style.","• Custom jacquard designs
• Embroidered or Woven Patch logo
• Knit mesh zones for airflow
• Ribbed arch support"
20050-00008,"Bike, Moto",SP23,SOLID Casual Socks,Apparel,White,TRUE,TRUE,20050-00008,20050-00008,20050-00009,,,,,,S/M,L/XL,,,,,,14,16,TW,"68% Cotton
22% Nylon
6% Polyester
4% Elastane","8"" Casual/Athletic crew sock. This sock blends functional knits in classic solid colors that will never go out of style.","• Custom jacquard designs
• Embroidered or Woven Patch logo
• Knit mesh zones for airflow
• Ribbed arch support"
20051-00000,"Bike, Moto",SP23,RYTHYM Merino MTB Socks,Apparel,Black,TRUE,TRUE,20051-00000,20051-00000,20051-00001,,,,,,S/M,L/XL,,,,,,20,22,TW,"60% Wool
25% Nylon
12% Polyester
3% Elastane",The 6” MTB Mulesing-free Merino Wool performance sock blends functional yarns with stylish design that will never go out of style.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Anti-Microbial and odor control
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20051-00002,"Bike, Moto",SP23,RYTHYM Merino MTB Socks,Apparel,Black/Charcoal,TRUE,TRUE,20051-00002,20051-00002,20051-00003,,,,,,S/M,L/XL,,,,,,20,22,TW,"60% Wool
25% Nylon
12% Polyester
3% Elastane",The 6” MTB Mulesing-free Merino Wool performance sock blends functional yarns with stylish design that will never go out of style.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Anti-Microbial and odor control
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
20051-00004,"Bike, Moto",SP23,RYTHYM Merino MTB Socks,Apparel,Charcoal Heather,TRUE,TRUE,20051-00004,20051-00004,20051-00005,,,,,,S/M,L/XL,,,,,,20,22,TW,"60% Wool
25% Nylon
12% Polyester
3% Elastane",The 6” MTB Mulesing-free Merino Wool performance sock blends functional yarns with stylish design that will never go out of style.,"• Ribbed arch support
• Strategic knit mesh for ventilation
• Moisture wicking
• Anti-Microbial and odor control
• Flat stitch toe cap
• Reinforced heel and toe
• Logo jacquard design"
29000-00000,"Bike, Moto",SP23,CORNERSTONE Goggle Case,Accessories,Black,TRUE,TRUE,29000-00000,29000-00000,,,,,,,OS,,,,,,,45,50,CN,100% Polyester,"Transport your goggles in style with our custom carrying case. Features a padded interior and organization to keep goggles, lenses and accessories organized and secure.","• Stores up to 4 goggles and accessories
• EVA molded top panel provided extra protection during transport
• 3-D molded rubber grip 
• Interior pockets to keep your essentials organized
• Removable foam insert to store your GoPro camera and mounts
• Padded compartment dividers with sleeves for lens storage"
29001-00000,"Bike, Moto",SP23,SKYCAP Backpack,Accessories,Black,TRUE,TRUE,29001-00000,29001-00000,,,,,,,OS,,,,,,,50,55,CN,100% Polyester,"Our all new SKYCAP is the perfect 2 compartment back-to-school utility backpack. This pack offers great school friendly organization in a compact design directly driven from the 100% design DNA. This pack features a zippered fleece lined eyewear/media pocket, interior padded tablet sleeve with organization, room for all needed supplies and a zippered front stash pocket with easy access.","• large main compartment
• front zippered accessory stash pocket
• upper zippered fleece lined sunglass/glasses pocket
• padded interior laptop/tablet sleeve
• Internal organization pockets
• Screenprint logos
• padded back panel
• padded shoulder straps
• haul handle at top
• 44cm H x 25cm W x 12cm D
• 13.2L"
29002-00000,"Bike, Moto",SP23,TRANSIT Backpack,Accessories,Black,TRUE,TRUE,29002-00000,29002-00000,,,,,,,OS,,,,,,,70,75,CN,100% Polyester,"The all new TRANSIT backpack has been redesigned for functionality. We've added a zippered bottom compartment with interior expansion capabilities perfect for shoes or laundry. The main compartment has plenty of room for all needed supplies with a zippered mesh interior pocket with organization. There's a padded zippered side entry compartment that fits a 15"" laptop and or tablet. We've also included a zippered fleece lined eyewear/media pocket up top and a side stretch mesh water bottle pocket. Also, included are padded airmesh back panel, straps and integrated haul handle for traveling. The redesigned TRANSIT backpack is sure to be your next go-to pack.","• Large main compartment
• 2 front zippered accessory stash pockets 
• Zippered bottom compartment for shoes/laundry with interior expansion
• Upper zippered fleece lined glasses pocket.
• Padded zippered side entry laptop/tablet pocket with gusset
• Internal organization pockets and mesh zippered stash pocket
• Compression side straps
• Stretch mesh water bottle pocket
• Direct inject/Screenprint branding
• Padded back panel
• Padded shoulder straps with integrated haul handle
• 48.5cm H x 31.75cm W x 20cm D  (19""H x 12.5"" W x 8""D)
• 28.25L"
29006-00000,"Bike, Moto",SP23,OFFICIAL Umbrella,Accessories,Blue/Red,TRUE,TRUE,29006-00000,29006-00000,,,,,,,OS,,,,,,,35,37,CN,100% Polyester,"100% shade at the gate or in the pits. This premium 60"" diameter umbrella will keep you covered from the elements.","• 60"" 8-panel auto-open umbrella
• Fully heat transfer printed
• 190T Pongee fabric 
• Fiberglass Frame, Rib & Shaft
• EVA handle"
29012-00000,"Bike, Moto",SP23,100% STRIKE Umbrella,Accessories,White,TRUE,TRUE,29012-00000,29012-00000,,,,,,,OS,,,,,,,35,37,CN,100% Polyester,"Look factory. Be Factory. 100% shade at the gate or in the pits. This premium 60"" large diameter umbrella will keep you covered from the elements.","• 54"" 8-panel auto-open umbrella
• Fully heat transfer printed
• 190T Pongee fabric 
• Fiberglass Frame, Rib & Shaft
• EVA handle"
